
(农药化肥)300505 川金诺 2023-02-22涨幅：-0.97% 预测明日收盘涨幅：0.05% 实际收盘涨幅：-1.3%
(其他商业)301078 孩子王 2023-02-22涨幅：-2.31% 预测明日收盘涨幅：-0.0% 实际收盘涨幅：1.94%
(互联网)301171 易点天下 2023-02-22涨幅：-4.34% 预测明日收盘涨幅：-0.1% 实际收盘涨幅：-6.28%
(电气设备)301266 宇邦新材 2023-02-22涨幅：-0.52% 预测明日收盘涨幅：-0.14% 实际收盘涨幅：9.54%
(建筑工程)300649 杭州园林 2023-02-22涨幅：-1.29% 预测明日收盘涨幅：-0.15% 实际收盘涨幅：-1.4%
(家用电器)300160 秀强股份 2023-02-22涨幅：-1.79% 预测明日收盘涨幅：-0.38% 实际收盘涨幅：-0.24%


(钢加工)002541 鸿路钢构 2023-02-22涨幅：-3.35% 预测明日收盘涨幅：0.39% 实际收盘涨幅：-2.43%
(普钢)000709 河钢股份 2023-02-22涨幅：0% 预测明日收盘涨幅：0.1% 实际收盘涨幅：0.39%
(多元金融)600830 香溢融通 2023-02-22涨幅：0.45% 预测明日收盘涨幅：-0.07% 实际收盘涨幅：-0.3%
(家居用品)002615 哈尔斯 2023-02-22涨幅：0.24% 预测明日收盘涨幅：-0.09% 实际收盘涨幅：-3.74%
(汽车配件)000589 贵州轮胎 2023-02-22涨幅：0% 预测明日收盘涨幅：-0.11% 实际收盘涨幅：1.82%
(煤炭开采)600546 山煤国际 2023-02-22涨幅：0.37% 预测明日收盘涨幅：-0.16% 实际收盘涨幅：6.73%
(建筑工程)600248 陕西建工 2023-02-22涨幅：-0.65% 预测明日收盘涨幅：-0.2% 实际收盘涨幅：-0.22%
(化纤)002064 华峰化学 2023-02-22涨幅：-0.12% 预测明日收盘涨幅：-0.21% 实际收盘涨幅：-0.83%
(农药化肥)000830 鲁西化工 2023-02-22涨幅：-0.73% 预测明日收盘涨幅：-0.22% 实际收盘涨幅：-1.61%
(水泥)600881 亚泰集团 2023-02-22涨幅：-1.2% 预测明日收盘涨幅：-0.22% 实际收盘涨幅：-1.61%
(纺织)002327 富安娜 2023-02-22涨幅：-0.25% 预测明日收盘涨幅：-0.26% 实际收盘涨幅：1.65%
(化工原料)600618 氯碱化工 2023-02-22涨幅：0% 预测明日收盘涨幅：-0.26% 实际收盘涨幅：-0.94%
(小金属)000960 锡业股份 2023-02-22涨幅：0.13% 预测明日收盘涨幅：-0.27% 实际收盘涨幅：-1.94%
(医疗保健)002223 鱼跃医疗 2023-02-22涨幅：0.26% 预测明日收盘涨幅：-0.3% 实际收盘涨幅：-1.15%
(普钢)600808 马钢股份 2023-02-22涨幅：0% 预测明日收盘涨幅：-0.3% 实际收盘涨幅：-0.65%
(铅锌)600531 豫光金铅 2023-02-22涨幅：0% 预测明日收盘涨幅：-0.31% 实际收盘涨幅：-0.34%
(铝)600888 新疆众和 2023-02-22涨幅：-0.65% 预测明日收盘涨幅：-0.36% 实际收盘涨幅：-0.11%
(中成药)000423 东阿阿胶 2023-02-22涨幅：1.04% 预测明日收盘涨幅：-0.37% 实际收盘涨幅：0.89%
(铝)000612 焦作万方 2023-02-22涨幅：0.17% 预测明日收盘涨幅：-0.38% 实际收盘涨幅：-0.5%
(煤炭开采)600188 兖矿能源 2023-02-22涨幅：0.53% 预测明日收盘涨幅：-0.38% 实际收盘涨幅：3.99%
(普钢)000655 金岭矿业 2023-02-22涨幅：0% 预测明日收盘涨幅：-0.4% 实际收盘涨幅：0.12%
(农药化肥)000902 新洋丰 2023-02-22涨幅：-1.19% 预测明日收盘涨幅：-0.4% 实际收盘涨幅：-0.96%
