2023-02-07卖出[301165 锐捷网络
]后本金变为原来的0.9741倍2023-02-07卖出[300502 新易盛
]后本金变为原来的0.96163152倍2023-02-07卖出[300418 昆仑万维
]后本金变为原来的0.956150220336倍2023-02-07卖出[300364 中文在线
]后本金变为原来的0.9192428218310303倍2023-02-07卖出[300352 北信源
]后本金变为原来的0.9264129158413124倍2023-02-07卖出[300674 宇信科技
]后本金变为原来的0.865454945978954倍2023-02-07卖出[301231 荣信文化
]后本金变为原来的0.852213485305476倍2023-02-07卖出[300557 理工光科
]后本金变为原来的0.8444583425891962倍2023-02-07卖出[301025 读客文化
]后本金变为原来的0.806879946343977倍2023-02-07卖出[301316 慧博云通
]后本金变为原来的0.7570147656599192倍2023-02-07卖出[300182 捷成股份
]后本金变为原来的0.7304435473852561倍2023-02-07卖出[300766 每日互动
]后本金变为原来的0.6991805635571672倍2023-02-07卖出[300830 金现代
]后本金变为原来的0.6754783424525792倍2023-02-07卖出[300081 恒信东方
]后本金变为原来的0.6402859208107998倍2023-02-07卖出[301052 果麦文化
]后本金变为原来的0.6059025668632599倍2023-02-08卖出[301326 捷邦科技
]后本金变为原来的0.6408631449712701倍2023-02-08卖出[300926 博俊科技
]后本金变为原来的0.6702787633254514倍2023-02-08卖出[301018 申菱环境
]后本金变为原来的0.6944087988051677倍2023-02-08卖出[300492 华图山鼎
]后本金变为原来的0.7116995778954164倍2023-02-08卖出[300235 方直科技
]后本金变为原来的0.7247236801709025倍2023-02-08卖出[300609 汇纳科技
]后本金变为原来的0.7289995498839108倍2023-02-08卖出[300371 汇中股份
]后本金变为原来的0.7356334457878545倍2023-02-08卖出[300128 锦富技术
]后本金变为原来的0.7338679255179636倍2023-02-08卖出[300540 蜀道装备
]后本金变为原来的0.7274098877734055倍2023-02-08卖出[301276 嘉曼服饰
]后本金变为原来的0.7173716313221326倍2023-02-08卖出[300617 安靠智电
]后本金变为原来的0.7183042144428514倍2023-02-08卖出[300340 科恒股份
